Titulo,Director,Actor principal,Actriz principal,Genero,Pais,Fecha de estreno,Premios
Lo que el viento se llevo,Victor Fleming,Clark Gable,Vivien Leigh,Drama,Estados Unidos,1939,Mejor pelicula|Mejor director|Mejor guion|Mejor actriz
Pulp Fiction,Quentin Tarantino,John Travolta,Uma Thurman,Comedia negra,Estados Unidos,1994,Mejor guion
